,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,Show_title
49,conversations with a killer: the jeffrey dahmer tapes,tt21946032,series,"Serial killer Jeffrey Dahmer confesses to his gruesome crimes in unguarded interviews, offering an unsettling view into a disturbed mind.",2022,TV-MA,N/A,"Documentary, Biography, Crime",United States,tt21946032,7.4,"1,621",conversations with a killer: the jeffrey dahmer tapes
50,oddballs,tt21107718,series,It tells the story of James. His observations on life fuel his comedic rants at everyday inconveniences and elevates them to absurd heights.,2022–,TV-Y7,N/A,"Animation, Adventure, Comedy",United States,tt21107718,6.6,625,oddballs
51,"el rey, vicente fernández",tt16442864,series,Follows the life of Mexican music icon Vicente Fernandez.,2022–,TV-14,N/A,"Biography, Drama, Music","Mexico, Colombia",tt16442864,7.3,266,"el rey, vicente fernández"
52,young lady and gentleman,tt15514606,series,"Lee Young Kook is a widower with three children. He decides to hire Park Dan Dan as a live-in tutor for his kids and he becomes attracted to her despite the age difference. Probably because Park Dan Dan is funny, charming, and pos...",2021–,N/A,31S min,"Comedy, Drama, Family",South Korea,tt15514606,6.4,289,young lady and gentleman
53,chiquititas,tt0154063,series,"The lives of a group of orphans that live at the manor known as Rincón De Luz are touched and changed by a sweet-hearted, dedicated young woman.",1995–2001,N/A,60 min,"Musical, Family, Comedy",Argentina,tt0154063,6.1,489,chiquititas
54,last seen alive,tt10242388,movie,Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.,2022,R,95 min,"Action, Drama, Mystery",United States,tt10242388,5.6,"16,778",last seen alive
55,lou,tt5315210,movie,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts.",2022,R,107 min,"Action, Crime, Drama",United States,tt5315210,6.1,"19,805",lou
56,minions,tt2293640,movie,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.",2015,PG,91 min,"Animation, Adventure, Comedy","United States, United Kingdom",tt2293640,6.4,"239,317",minions
57,athena,tt15445056,movie,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.",2022,R,99 min,"Action, Drama, Thriller",France,tt15445056,6.8,"11,166",athena
58,ranga ranga vaibhavanga,tt15509564,movie,"Two childhood buddies develop a dislike for each other after an event, which continues even after they become adults. When they enroll in the same medical college, they decide to patch up and gradually develop fondness for each ot...",2022,N/A,122 min,"Comedy, Drama, Romance",India,tt15509564,5.1,683,ranga ranga vaibhavanga
59,saakini daakini,tt12874984,movie,"Two police trainees witness the kidnapping of a girl one night on their way home. Unable to get help from the local police and determined to rescue the girl, they set out on their own amateur investigation.",2022,N/A,118 min,"Action, Comedy",India,tt12874984,6.0,547,saakini daakini
60,cyberpunk: edgerunners,tt12590266,series,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.",2022–,TV-MA,N/A,"Animation, Action, Adventure","Poland, United States",tt12590266,8.4,"38,251",cyberpunk: edgerunners
61,narco saints,tt9631156,series,The life-threatening journey of a civilian businessman who has no choice but to cooperate with the secret operation of the National Intelligence Service.,2019–,N/A,N/A,Crime,United States,tt9631156,7.2,200,narco saints
62,diary of a gigolo,tt16481820,series,A gigolo's life begins to unravel when he becomes involved in a client's family affairs and violates the fundamental rule of his job: don't fall in love.,2022,TV-MA,N/A,"Crime, Drama, Mystery","United States, Argentina",tt16481820,6.5,936,diary of a gigolo
